Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer
Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,SNES,1994,Fighting,Angel Studios,0.0,0.0,0.12,0.0,0.12,Unknown
Rubik's World,DS,2008,Puzzle,Game Factory,0.1,0.01,0.0,0.01,0.12,Two Tribes
Zenses: Ocean,DS,2008,Puzzle,Game Factory,0.1,0.01,0.0,0.01,0.12,Shin'en
Phantasy Star Universe,X360,2006,Role-Playing,Sega,0.09,0.01,0.0,0.01,0.12,Sonic Team
Peggle: Dual Shot,DS,2009,Puzzle,PopCap Games,0.11,0.0,0.0,0.01,0.12,Q Entertainment
NPPL: Championship Paintball 2009,Wii,2008,Shooter,Activision Value,0.11,0.0,0.0,0.01,0.12,FUN Labs
Spider-Man: Edge of Time,3DS,2011,Action,Activision,0.08,0.03,0.0,0.01,0.12,Beenox
Cruis'n,Wii,2007,Racing,Midway Games,0.1,0.01,0.0,0.01,0.12,Midway Studios - San Diego
Samurai Warriors 4-II,PS4,2015,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.12,Omega Force
Harukanaru Augusta 2: Masters,SNES,1993,Sports,T&E Soft,0.0,0.0,0.12,0.0,0.12,Unknown
Castlevania: Curse of Darkness,XB,2005,Action,Konami Digital Entertainment,0.09,0.03,0.0,0.0,0.12,Konami
SimAnimals Africa,Wii,2009,Simulation,Electronic Arts,0.1,0.01,0.0,0.01,0.12,Electronic Arts
Love Live! School Idol Paradise,PSV,2014,Misc,Kadokawa Games,0.0,0.0,0.12,0.0,0.12,Unknown
Lost Planet 3,X360,2013,Shooter,Capcom,0.07,0.03,0.01,0.01,0.12,Spark Unlimited
Battles of Prince of Persia,DS,2005,Strategy,Ubisoft,0.1,0.01,0.0,0.01,0.12,Ubisoft Montreal
The Clique: Diss and Make Up,DS,2009,Adventure,Warner Bros. Interactive Entertainment,0.11,0.0,0.0,0.01,0.12,Gorilla Systems
Mobil 1 Rally Championship,PS,2000,Racing,Electronic Arts,0.07,0.04,0.0,0.01,0.12,Unknown
USA Today Crossword Challenge,DS,2008,Puzzle,Destineer,0.11,0.0,0.0,0.01,0.12,Sanuk Games
King of Colosseum (Red): Shin Nippon x Zen Nippon x Pancrase Disc,PS2,2002,Fighting,Spike,0.0,0.0,0.12,0.0,0.12,Unknown
Turok: Evolution,GBA,2002,Shooter,Acclaim Entertainment,0.08,0.03,0.0,0.0,0.12,RFX Interactive
Charm Girls Club: My Perfect Prom,DS,2009,Simulation,Electronic Arts,0.11,0.0,0.0,0.01,0.12,Griptonite Games
Marvel Trading Card Game,DS,2007,Misc,Konami Digital Entertainment,0.11,0.0,0.0,0.01,0.12,1st Playable Productions
Rugrats: Totally Angelica,PS,2001,Adventure,THQ,0.06,0.04,0.0,0.01,0.12,Unknown
Nightshade,PS2,2003,Action,Sega,0.06,0.04,0.0,0.01,0.12,Wow Entertainment
Brunswick Pro Bowling,3DS,2011,Sports,Crave Entertainment,0.11,0.0,0.0,0.01,0.12,"Farsight Studios, Crave"
CSI: Crime Scene Investigation,XB,2004,Adventure,Ubisoft,0.09,0.03,0.0,0.0,0.12,369 Interactive
Wipeout 2,PS3,2011,Misc,Activision,0.11,0.0,0.0,0.01,0.12,Endemol
LEGO Batman 2: DC Super Heroes,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.04,0.06,0.0,0.01,0.12,TT Games
Ultimate Puzzle Games: Sudoku Edition,DS,2007,Puzzle,Telegames,0.11,0.0,0.0,0.01,0.12,puzzle.tv
Buffy the Vampire Slayer: Chaos Bleeds,XB,2003,Action,Vivendi Games,0.09,0.03,0.0,0.0,0.12,Eurocom Entertainment Software
Onechanbara: Bikini Zombie Slayers,Wii,2008,Action,D3Publisher,0.11,0.0,0.0,0.01,0.12,Tamsoft
Hanagumi Taisen Columns,SAT,1997,Puzzle,Sega,0.0,0.0,0.12,0.0,0.12,Unknown
Tropico 5,PC,2014,Simulation,Kalypso Media,0.02,0.09,0.0,0.01,0.12,Haemimont
Tales of Destiny 2,PSP,2007,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,Unknown
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,GC,2005,Action,Konami Digital Entertainment,0.09,0.02,0.0,0.0,0.12,Konami
Reality Fighters,PSV,2012,Fighting,Sony Computer Entertainment,0.05,0.05,0.0,0.02,0.12,Novarama
Petz Fantasy: Moonlight Magic,DS,2010,Simulation,Ubisoft,0.11,0.0,0.0,0.01,0.12,Ubisoft
The Price is Right: Decades,Wii,2011,Misc,Ubisoft,0.11,0.0,0.0,0.01,0.12,Ludia Inc.
Power Pro Kun Pocket 14,DS,2011,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,Unknown
Dragon Ball: Origins,DS,2008,Action,Atari,0.08,0.02,0.0,0.01,0.12,Game Republic
Jikkyou Powerful Pro Baseball 2016,PS3,2016,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,Unknown
FIFA 17,PC,2016,Sports,Electronic Arts,0.0,0.11,0.0,0.01,0.12,"EA Sports, EA Vancouver"
After Hours Athletes,PS3,2011,Sports,Sony Computer Entertainment,0.0,0.1,0.0,0.02,0.12,Unknown
UN Squadron,SNES,1991,Shooter,Capcom,0.0,0.0,0.12,0.0,0.12,Unknown
Tecmo Super Bowl,PS,1996,Sports,Tecmo Koei,0.06,0.04,0.0,0.01,0.12,Unknown
Disney Princess: Enchanting Storybooks,DS,2011,Misc,THQ,0.07,0.03,0.0,0.01,0.12,Page 44 Studios
Dora the Explorer: Journey to the Purple Planet,GC,2005,Adventure,Global Star,0.09,0.02,0.0,0.0,0.12,Take-Two Interactive
Lunar 2: Eternal Blue,SAT,1998,Role-Playing,Kadokawa Shoten,0.0,0.0,0.12,0.0,0.12,Unknown
NHL Powerplay '96,PS,1996,Sports,Virgin Interactive,0.06,0.04,0.0,0.01,0.12,Unknown
Thousand Arms,PS,1998,Role-Playing,Atlus,0.06,0.04,0.0,0.01,0.12,Unknown
Arctic Thunder,XB,2001,Racing,Midway Games,0.09,0.02,0.0,0.0,0.12,Inland Productions
Barnyard,GC,2006,Action,THQ,0.09,0.02,0.0,0.0,0.12,Blue Tongue Entertainment
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,2013,Misc,Ubisoft,0.09,0.01,0.0,0.01,0.12,Unknown
Stolen Song,PS,1998,Adventure,Sony Computer Entertainment,0.0,0.0,0.11,0.01,0.12,Unknown
Armored Core: Verdict Day,PS3,2013,Simulation,From Software,0.0,0.0,0.12,0.0,0.12,From Software
